bill_number,dtg_date,lla_date,vetoed_by_gov,time_to_dtg
senate        Bill S4313B,2012-08-06,2012-06-14,False,53 days
senate        Bill S4315,2011-07-22,2011-06-23,False,29 days
senate        Bill S4323,2011-07-22,2011-06-17,False,35 days
senate        Bill S4326A,2012-07-06,2012-06-14,False,22 days
senate        Bill S4333A,2011-07-22,2011-06-21,False,31 days
senate        Bill S4359A,2012-07-06,2012-06-20,False,16 days
senate        Bill S4360,2011-12-28,2011-06-17,True,194 days
senate        Bill S4363A,2011-09-12,2011-06-15,False,89 days
senate        Bill S4376B,2012-05-21,2012-05-14,False,7 days
senate        Bill S4377A,2011-07-22,2011-06-16,False,36 days
senate        Bill S4385A,2011-07-22,2011-06-16,False,36 days
senate        Bill S4404,2011-08-24,2011-06-23,False,62 days
senate        Bill S4415,2011-05-20,2011-05-17,False,3 days
senate        Bill S4426,2011-06-27,2011-06-01,False,26 days
senate        Bill S4444B,2011-09-12,2011-06-21,False,83 days
senate        Bill S4445,2011-07-22,2011-06-13,False,39 days
senate        Bill S4454B,2011-07-08,2011-06-20,False,18 days
senate        Bill S4456,2011-09-12,2011-06-06,False,98 days
senate        Bill S4467,2011-05-20,2011-05-11,False,9 days
senate        Bill S4469,2011-09-12,2011-06-16,False,88 days
senate        Bill S4473,2011-07-22,2011-06-13,False,39 days
senate        Bill S4481A,2011-07-08,2011-06-07,False,31 days
senate        Bill S4482,2011-08-05,2011-06-16,False,50 days
senate        Bill S4485,2011-05-20,2011-05-17,False,3 days
senate        Bill S4489,2011-09-12,2011-06-22,True,82 days
senate        Bill S4492,2011-08-05,2011-06-16,True,50 days
senate        Bill S4493,2011-05-11,2011-05-11,False,0 days
senate        Bill S4494,2012-07-20,2012-06-19,False,31 days
senate        Bill S4495,2011-07-22,2011-06-16,False,36 days
senate        Bill S4498,2011-07-08,2011-06-15,False,23 days
senate        Bill S4503,2011-07-08,2011-06-14,False,24 days
senate        Bill S4504,2011-06-02,2011-06-01,False,1 days
senate        Bill S4521A,2011-09-12,2011-06-16,False,88 days
senate        Bill S4522B,2012-07-20,2012-06-20,False,30 days
senate        Bill S4529D,2011-09-12,2011-06-22,True,82 days
senate        Bill S4530B,2011-07-22,2011-06-22,False,30 days
senate        Bill S4543,2011-07-22,2011-06-20,False,32 days
senate        Bill S4544,2011-08-05,2011-06-15,False,51 days
senate        Bill S4545A,2011-07-22,2011-06-20,False,32 days
senate        Bill S4546A,2011-07-08,2011-06-16,False,22 days
senate        Bill S4548,2011-08-05,2011-06-13,False,53 days
senate        Bill S4555A,2011-12-28,2011-06-16,False,195 days
senate        Bill S4559B,2011-09-12,2011-06-20,False,84 days
senate        Bill S4563A,2011-09-12,2011-06-17,True,87 days
senate        Bill S4564,2011-09-12,2011-06-16,True,88 days
senate        Bill S4566,2011-09-12,2011-06-01,False,103 days
senate        Bill S4568,2012-07-06,2012-06-19,False,17 days
senate        Bill S4571,2011-07-22,2011-06-13,False,39 days
senate        Bill S4572,2011-06-10,2011-06-01,False,9 days
senate        Bill S4573,2011-07-22,2011-06-13,False,39 days
senate        Bill S4574,2011-07-22,2011-06-13,False,39 days
senate        Bill S4575,2011-07-22,2011-06-23,False,29 days
senate        Bill S4577A,2011-09-12,2011-06-06,False,98 days
senate        Bill S4581,2011-08-05,2011-06-06,False,60 days
senate        Bill S4582B,2011-09-12,2011-06-15,False,89 days
senate        Bill S4583A,2011-07-08,2011-06-23,False,15 days
senate        Bill S4584,2011-07-22,2011-06-02,False,50 days
senate        Bill S4586A,2011-07-22,2011-06-16,False,36 days
senate        Bill S4591A,2011-07-22,2011-06-21,False,31 days
senate        Bill S4594,2011-07-22,2011-06-16,False,36 days
senate        Bill S4600B,2011-07-22,2011-06-20,False,32 days
senate        Bill S4601B,2011-07-22,2011-06-20,False,32 days
senate        Bill S4605A,2012-08-06,2012-06-21,False,46 days
senate        Bill S4607B,2011-07-22,2011-06-20,False,32 days
senate        Bill S4612A,2011-08-05,2011-06-15,False,51 days
senate        Bill S4621A,2011-09-12,2011-06-14,False,90 days
senate        Bill S4622A,2011-09-12,2011-06-13,False,91 days
senate        Bill S4627,2011-07-22,2011-06-23,False,29 days
senate        Bill S4632,2011-06-30,2011-06-17,False,13 days
senate        Bill S4633,2011-08-05,2011-06-21,False,45 days
senate        Bill S4638,2011-06-10,2011-06-06,False,4 days
senate        Bill S4640C,2012-09-21,2012-06-20,False,93 days
senate        Bill S4647A,2011-05-20,2011-05-11,False,9 days
senate        Bill S4650,2011-07-22,2011-06-16,False,36 days
senate        Bill S4655,2011-12-21,2011-06-17,True,187 days
senate        Bill S4657,2011-06-27,2011-06-15,False,12 days
senate        Bill S4659,2011-07-22,2011-06-06,False,46 days
senate        Bill S4660,2012-09-21,2012-06-12,True,101 days
senate        Bill S4666,2011-05-20,2011-05-10,False,10 days
senate        Bill S4677,2011-07-22,2011-06-20,False,32 days
senate        Bill S4710,2011-07-22,2011-06-20,False,32 days
senate        Bill S4711,2011-08-05,2011-06-16,False,50 days
senate        Bill S4718A,2011-07-08,2011-06-16,False,22 days
senate        Bill S4720,2011-09-12,2011-06-17,False,87 days
senate        Bill S4723B,2011-09-12,2011-06-20,True,84 days
senate        Bill S4732,2011-08-31,2011-06-16,False,76 days
senate        Bill S4738A,2011-09-12,2011-06-20,False,84 days
senate        Bill S4748,2011-07-08,2011-06-07,False,31 days
senate        Bill S4750,2011-09-12,2011-06-01,False,103 days
senate        Bill S4753A,2011-12-28,2011-06-24,False,187 days
senate        Bill S4763,2011-07-08,2011-06-17,False,21 days
senate        Bill S4766,2011-07-22,2011-06-20,False,32 days
senate        Bill S4770,2011-08-05,2011-06-20,False,46 days
senate        Bill S4771,2011-07-22,2011-06-20,False,32 days
senate        Bill S4772,2011-08-05,2011-06-15,False,51 days
senate        Bill S4775A,2012-08-06,2012-06-14,True,53 days
